state,county,date,cases,cases
New York,New York City,2020-03-31,43139,0.30387067234881837
New York,Westchester,2020-03-31,9967,0.37407811784594797
New York,Nassau,2020-03-31,8544,0.4342619659775297
New York,Suffolk,2020-03-31,6713,0.48154826893952735
Illinois,Cook,2020-03-31,4496,0.5132180467016518
California,Los Angeles,2020-03-31,3011,0.5344274997358504
New Jersey,Bergen,2020-03-31,2909,0.5549184658190399
New York,Rockland,2020-03-31,2863,0.5750854083753038
Washington,King,2020-03-31,2332,0.5915119923924911
Florida,Miami-Dade,2020-03-31,2123,0.6064663825590815
Michigan,Oakland,2020-03-31,1620,0.617877645898637
New Jersey,Hudson,2020-03-31,1606,0.6291902933821717
Pennsylvania,Philadelphia,2020-03-31,1315,0.6384531398584158
New Jersey,Passaic,2020-03-31,1294,0.6475680625506287
New Jersey,Middlesex,2020-03-31,1277,0.6565632374176734
Washington,Snohomish,2020-03-31,1228,0.6652132567886451
Florida,Broward,2020-03-31,1219,0.6737998802521749
New Jersey,Monmouth,2020-03-31,1140,0.6818300285281583
New Jersey,Ocean,2020-03-31,1022,0.6890289860176804
California,Santa Clara,2020-03-31,890,0.6952981368647202
Michigan,Macomb,2020-03-31,853,0.7013066600922763
Arizona,Maricopa,2020-03-31,791,0.7068784559574544
Massachusetts,Norfolk,2020-03-31,738,0.7120769203676962
California,San Diego,2020-03-31,734,0.7172472088190751
Texas,Harris,2020-03-31,680,0.7220371218258022
Wisconsin,Milwaukee,2020-03-31,674,0.7267847708942345
Texas,Dallas,2020-03-31,631,0.7312295284048885
Florida,Palm Beach,2020-03-31,551,0.7351107667382806
Tennessee,Davidson,2020-03-31,541,0.7389215651745148
Colorado,Denver,2020-03-31,539,0.7427182756313175
